temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,angle_of_incidence,zenith,generated_power_kw
0.54,82,1008.1,0,85,278.57,38.95,19.667821,59.093739,609.03444
1.41,81,1007.8,0,83,423.64,38.2,12.885606,57.314435,1231.1073
3.11,83,1004.3,0.1,78,298.15,37.92,18.92766,58.853769,1338.748
3.79,80,1003.3,0,100,231.4,40.35,31.421212,63.465959,1533.5819
4.08,80,1003,0,100,270.56,42.35,45.282242,70.530584,274.12224
3.5,82,1001.6,0,91,205.59,44.4,59.375875,79.259153,209.04958
-4.33,92,1010.1,0,70,167.32,54.4,32.258436,63.653454,61.186944
-2.87,87,1009.8,0,100,239.41,61.18,19.506537,58.812419,37.113781
-2.28,83,1009.6,0.1,88,217.16,59.89,12.60724,57.019174,44.916886
-1.54,70,1010.7,0.1,100,241.19,53.46,18.721458,58.560135,63.474352
-0.75,65,1011.2,0.1,100,374.69,55.92,30.544968,62.841885,11.048742
-1.28,66,1011.8,0,100,440.55,55.63,45.161802,70.236172,3.5764493
-3.39,93,1020.5,0,100,140.62,45.32,32.183729,63.391612,0.009444444
-2,83,1020,0,100,257.21,48.97,12.325154,56.719231,199.56072
-1.15,72,1020.7,0,100,226.95,50.06,18.517028,58.262676,621.0319
-0.47,63,1020.4,0,98,271.45,47.2,31.181577,62.905312,1270.4655
0.44,54,1020.1,0,59,260.77,52.32,45.132854,70.012901,378.96399
0.35,55,1019.2,0,100,232.29,49.07,59.406217,78.86659,155.8639
0.36,55,1018.9,0,41,186.01,49.35,71.2682,86.993045,16.274753
-4.02,92,1017.4,0.1,100,0,38.98,60.56588,79.500057,60.412381
-3.82,92,1018.1,0.1,100,13.35,34.86,46.139505,70.426622,213.16447
-3.09,91,1018.8,0.1,100,105.02,32.14,32.107017,63.124478,411.75982
-2.66,77,1018.7,0,84,187.79,27.61,19.17733,58.234292,946.81661
-1.64,62,1018.1,0,10,351.55,29.66,12.039518,56.414712,770.66778
-4.53,93,1021,0.4,100,0,28.45,60.561577,79.28291,0.22459016
-3.84,92,1021.3,0.3,100,18.69,32.56,46.087246,70.172966,65.507917
-3.47,87,1021.4,0.2,100,149.52,32.36,32.028452,62.852156,69.335871
-2.61,75,1021.7,0.1,100,283.02,29.52,19.009858,57.937698,179.29113
-1.77,70,1022,0,75,362.23,28.26,11.750513,56.105725,509.22694
-0.1,64,1020.2,0,100,453.01,30.93,18.114796,57.656717,426.59295
0.41,60,1019.8,0,100,445.89,29.55,30.957074,62.333789,411.4492
0.89,57,1020.5,0,100,432.54,25.96,44.99878,69.487848,267.54383
1.19,56,1020,0,100,369.35,21.39,59.332379,78.388854,63.384136
1.16,57,1020,0,100,305.27,15.99,70.202751,85.834763,0.16192283
